,solutes,solvents,solubility_param
0,A,Methanol ,5
1,A,Ethanol_96,4
2,A,Ethanol_99p9,5
3,A,n-Propanol,5
4,A,n-Butanol,5
5,A,Pentanol-1,4
6,A,2-Ethyl_butanol,3
7,A,2-Ethyl_hexanol,4
8,A,Methyl_isobutyl_carbinol,4
9,A,Propylene_glycol,6
10,A,Ethylene_glycol,6
11,A,1_3-Butandiol,5
12,A,Glycerol,4
13,A,Cyclohexanol,5
14,A,m-Cresol,3
15,A,Ethyl_lactate,1
16,A,n-Butyl_lactate,1
17,A,Diethylene_glycol,6
18,A,Dipropylene_glycol,6
19,A,2-Butoxyethanol,1
20,A,Methyl_dioxitol,1
21,A,Butyl_dioxitol,1
22,A,Oxitole,1
23,A,Diacetone_alcohol,1
24,A,Cellusolve_acetate,1
25,A,Methyl_Cellusolve,4
26,A,Diethyl_ether,3
27,A,Furan,1
28,A,Dioxane,1
29,A,Methylal,1
30,A,Diethyl_sulfide,1
31,A,Carbon_disulfide,4
32,A,Dimethyl_sulphoxide,4
33,A,Propylene_carbonate,1
34,A,gamma_Butyrolactone,1
35,A,Acetone,1
36,A,Methyl_ethyl_ketone,1
37,A,Methyl_isobutyl_ketone,1
38,A,Methyl_isoamyl_ketone,1
39,A,Diisobutyl_ketone,1
40,A,Isophorone,1
41,A,Acetophenone,1
42,A,Cyclohexanone,1
43,A,Tetrahydrofuran,1
44,A,Mesityl_oxide,1
45,A,Ethyl_acetate,1
46,A,n-Butyl_acetate,1
47,A,Isoamyl_acetate,1
48,A,Isobutyl_isobutyrate,1
49,A,Acetonitrile,1
50,A,Butyronitrite,1
51,A,Nitromethane,1
52,A,Nitroethane,1
53,A,2-Nitropropane,1
54,A,Aniline,1
55,A,Nitrobenzene,1
56,A,Ethanolamine,6
57,A,Dimethyl_formamide,1
58,A,Dipropyl_amine,1
59,A,Diethyl_amine,1
60,A,Morpholine,1
61,A,Cyclohexylamine,1
62,A,Pyridine,1
63,A,Carbon_terachloride,1
64,A,Chloroform,1
65,A,Ethylen_chloride,1
66,A,Methylene_chloride,1
67,A,1_1_1-Trichloroethane,1
68,A,1-Chlorobutane,1
69,A,Trichloroethylene,1
70,A,2_2-Dichloro_diethyl_ether,1
71,A,Chlorobenzene,1
72,A,o-Dichlorobenzene,1
73,A,alpha-bromonaphtaline,1
74,A,Cyclohexylchloride,1
75,A,Benzene,1
76,A,Toluene,1
77,A,Xylene,1
78,A,Ethyl_benzene,1
79,A,Styrene,1
80,A,Tetralin,1
81,A,Hexane,6
82,A,Cyclohexane,6
83,A,Acetic_acid,1
84,A,Formic_acid_90,1
85,A,Butyric_acid,1
86,A,Benzaldehyde,1
87,A,Acetic_anhydride,1
88,B,Methanol ,6
89,B,Ethanol_96,6
90,B,Ethanol_99p9,6
91,B,n-Propanol,6
92,B,n-Butanol,6
93,B,Pentanol-1,6
94,B,2-Ethyl_butanol,2
95,B,2-Ethyl_hexanol,2
96,B,Methyl_isobutyl_carbinol,5
97,B,Propylene_glycol,6
98,B,Ethylene_glycol,6
99,B,1_3-Butandiol,6
100,B,Glycerol,6
101,B,Cyclohexanol,6
102,B,m-Cresol,3
103,B,Ethyl_lactate,1
104,B,n-Butyl_lactate,1
105,B,Diethylene_glycol,6
106,B,Dipropylene_glycol,6
107,B,2-Butoxyethanol,5
108,B,Methyl_dioxitol,1
109,B,Butyl_dioxitol,3
110,B,Oxitole,5
111,B,Diacetone_alcohol,2
112,B,Cellusolve_acetate,1
113,B,Methyl_Cellusolve,3
114,B,Diethyl_ether,6
115,B,Furan,4
116,B,Dioxane,1
117,B,Methylal,5
118,B,Diethyl_sulfide,4
119,B,Carbon_disulfide,5
120,B,Dimethyl_sulphoxide,1
121,B,Propylene_carbonate,1
122,B,gamma_Butyrolactone,1
123,B,Acetone,1
124,B,Methyl_ethyl_ketone,1
125,B,Methyl_isobutyl_ketone,1
126,B,Methyl_isoamyl_ketone,1
127,B,Diisobutyl_ketone,3
128,B,Isophorone,1
129,B,Acetophenone,1
130,B,Cyclohexanone,1
131,B,Tetrahydrofuran,1
132,B,Mesityl_oxide,1
133,B,Ethyl_acetate,1
134,B,n-Butyl_acetate,1
135,B,Isoamyl_acetate,1
136,B,Isobutyl_isobutyrate,5
137,B,Acetonitrile,6
138,B,Butyronitrite,1
139,B,Nitromethane,6
140,B,Nitroethane,1
141,B,2-Nitropropane,1
142,B,Aniline,3
143,B,Nitrobenzene,1
144,B,Ethanolamine,6
145,B,Dimethyl_formamide,1
146,B,Dipropyl_amine,6
147,B,Diethyl_amine,6
148,B,Morpholine,1
149,B,Cyclohexylamine,1
150,B,Pyridine,1
151,B,Carbon_terachloride,5
152,B,Chloroform,1
153,B,Ethylen_chloride,1
154,B,Methylene_chloride,1
155,B,1_1_1-Trichloroethane,5
156,B,1-Chlorobutane,4
157,B,Trichloroethylene,4
158,B,2_2-Dichloro_diethyl_ether,1
159,B,Chlorobenzene,1
160,B,o-Dichlorobenzene,1
161,B,alpha-bromonaphtaline,6
162,B,Cyclohexylchloride,3
163,B,Benzene,5
164,B,Toluene,2
165,B,Xylene,4
166,B,Ethyl_benzene,5
167,B,Styrene,2
168,B,Tetralin,3
169,B,Hexane,5
170,B,Cyclohexane,6
171,B,Acetic_acid,6
172,B,Formic_acid_90,6
173,B,Butyric_acid,6
174,B,Benzaldehyde,1
175,B,Acetic_anhydride,5
176,C,Methanol ,4
177,C,Ethanol_96,4
178,C,Ethanol_99p9,3
179,C,n-Propanol,3
180,C,n-Butanol,3
181,C,Pentanol-1,5
182,C,2-Ethyl_butanol,5
183,C,2-Ethyl_hexanol,5
184,C,Methyl_isobutyl_carbinol,5
185,C,Propylene_glycol,5
186,C,Ethylene_glycol,6
187,C,1_3-Butandiol,5
188,C,Glycerol,6
189,C,Cyclohexanol,1
190,C,m-Cresol,1
191,C,Ethyl_lactate,1
192,C,n-Butyl_lactate,1
193,C,Diethylene_glycol,1
194,C,Dipropylene_glycol,1
195,C,2-Butoxyethanol,1
196,C,Methyl_dioxitol,1
197,C,Butyl_dioxitol,1
198,C,Oxitole,1
199,C,Diacetone_alcohol,1
200,C,Cellusolve_acetate,1
201,C,Methyl_Cellusolve,1
202,C,Diethyl_ether,3
203,C,Furan,1
204,C,Dioxane,1
205,C,Methylal,1
206,C,Diethyl_sulfide,4
207,C,Carbon_disulfide,3
208,C,Dimethyl_sulphoxide,1
209,C,Propylene_carbonate,1
210,C,gamma_Butyrolactone,1
211,C,Acetone,1
212,C,Methyl_ethyl_ketone,1
213,C,Methyl_isobutyl_ketone,1
214,C,Methyl_isoamyl_ketone,1
215,C,Diisobutyl_ketone,4
216,C,Isophorone,1
217,C,Acetophenone,1
218,C,Cyclohexanone,1
219,C,Tetrahydrofuran,1
220,C,Mesityl_oxide,1
221,C,Ethyl_acetate,1
222,C,n-Butyl_acetate,1
223,C,Isoamyl_acetate,1
224,C,Isobutyl_isobutyrate,5
225,C,Acetonitrile,1
226,C,Butyronitrite,1
227,C,Nitromethane,2
228,C,Nitroethane,1
229,C,2-Nitropropane,2
230,C,Aniline,1
231,C,Nitrobenzene,1
232,C,Ethanolamine,1
233,C,Dimethyl_formamide,1
234,C,Dipropyl_amine,1
235,C,Diethyl_amine,1
236,C,Morpholine,1
237,C,Cyclohexylamine,1
238,C,Pyridine,1
239,C,Carbon_terachloride,4
240,C,Chloroform,1
241,C,Ethylen_chloride,1
242,C,Methylene_chloride,1
243,C,1_1_1-Trichloroethane,4
244,C,1-Chlorobutane,2
245,C,Trichloroethylene,2
246,C,2_2-Dichloro_diethyl_ether,1
247,C,Chlorobenzene,2
248,C,o-Dichlorobenzene,2
249,C,alpha-bromonaphtaline,2
250,C,Cyclohexylchloride,4
251,C,Benzene,1
252,C,Toluene,2
253,C,Xylene,3
254,C,Ethyl_benzene,4
255,C,Styrene,2
256,C,Tetralin,4
257,C,Hexane,6
258,C,Cyclohexane,6
259,C,Acetic_acid,1
260,C,Formic_acid_90,5
261,C,Butyric_acid,1
262,C,Benzaldehyde,1
263,C,Acetic_anhydride,1
264,D,Methanol ,5
265,D,Ethanol_96,6
266,D,Ethanol_99p9,5
267,D,n-Propanol,5
268,D,n-Butanol,5
269,D,Pentanol-1,3
270,D,2-Ethyl_butanol,1
271,D,2-Ethyl_hexanol,1
272,D,Methyl_isobutyl_carbinol,1
273,D,Propylene_glycol,6
274,D,Ethylene_glycol,4
275,D,1_3-Butandiol,5
276,D,Glycerol,5
277,D,Cyclohexanol,1
278,D,m-Cresol,1
279,D,Ethyl_lactate,1
280,D,n-Butyl_lactate,1
281,D,Diethylene_glycol,5
282,D,Dipropylene_glycol,6
283,D,2-Butoxyethanol,1
284,D,Methyl_dioxitol,1
285,D,Butyl_dioxitol,1
286,D,Oxitole,1
287,D,Diacetone_alcohol,1
288,D,Cellusolve_acetate,1
289,D,Methyl_Cellusolve,1
290,D,Diethyl_ether,1
291,D,Furan,1
292,D,Dioxane,1
293,D,Methylal,1
294,D,Diethyl_sulfide,1
295,D,Carbon_disulfide,1
296,D,Dimethyl_sulphoxide,3
297,D,Propylene_carbonate,5
298,D,gamma_Butyrolactone,6
299,D,Acetone,1
300,D,Methyl_ethyl_ketone,1
301,D,Methyl_isobutyl_ketone,1
302,D,Methyl_isoamyl_ketone,1
303,D,Diisobutyl_ketone,1
304,D,Isophorone,1
305,D,Acetophenone,1
306,D,Cyclohexanone,1
307,D,Tetrahydrofuran,1
308,D,Mesityl_oxide,1
309,D,Ethyl_acetate,1
310,D,n-Butyl_acetate,1
311,D,Isoamyl_acetate,1
312,D,Isobutyl_isobutyrate,1
313,D,Acetonitrile,6
314,D,Butyronitrite,1
315,D,Nitromethane,5
316,D,Nitroethane,1
317,D,2-Nitropropane,1
318,D,Aniline,1
319,D,Nitrobenzene,1
320,D,Ethanolamine,6
321,D,Dimethyl_formamide,1
322,D,Dipropyl_amine,1
323,D,Diethyl_amine,1
324,D,Morpholine,1
325,D,Cyclohexylamine,1
326,D,Pyridine,1
327,D,Carbon_terachloride,1
328,D,Chloroform,1
329,D,Ethylen_chloride,1
330,D,Methylene_chloride,1
331,D,1_1_1-Trichloroethane,1
332,D,1-Chlorobutane,1
333,D,Trichloroethylene,1
334,D,2_2-Dichloro_diethyl_ether,1
335,D,Chlorobenzene,1
336,D,o-Dichlorobenzene,1
337,D,alpha-bromonaphtaline,1
338,D,Cyclohexylchloride,1
339,D,Benzene,1
340,D,Toluene,1
341,D,Xylene,1
342,D,Ethyl_benzene,1
343,D,Styrene,1
344,D,Tetralin,1
345,D,Hexane,1
346,D,Cyclohexane,1
347,D,Acetic_acid,4
348,D,Formic_acid_90,3
349,D,Butyric_acid,1
350,D,Benzaldehyde,1
351,D,Acetic_anhydride,3
352,E,Methanol ,4
353,E,Ethanol_96,4
354,E,Ethanol_99p9,1
355,E,n-Propanol,1
356,E,n-Butanol,1
357,E,Pentanol-1,1
358,E,2-Ethyl_butanol,1
359,E,2-Ethyl_hexanol,1
360,E,Methyl_isobutyl_carbinol,1
361,E,Propylene_glycol,4
362,E,Ethylene_glycol,6
363,E,1_3-Butandiol,4
364,E,Glycerol,6
365,E,Cyclohexanol,1
366,E,m-Cresol,1
367,E,Ethyl_lactate,1
368,E,n-Butyl_lactate,1
369,E,Diethylene_glycol,3
370,E,Dipropylene_glycol,1
371,E,2-Butoxyethanol,1
372,E,Methyl_dioxitol,1
373,E,Butyl_dioxitol,1
374,E,Oxitole,1
375,E,Diacetone_alcohol,1
376,E,Cellusolve_acetate,1
377,E,Methyl_Cellusolve,1
378,E,Diethyl_ether,4
379,E,Furan,1
380,E,Dioxane,1
381,E,Methylal,1
382,E,Diethyl_sulfide,1
383,E,Carbon_disulfide,5
384,E,Dimethyl_sulphoxide,1
385,E,Propylene_carbonate,6
386,E,gamma_Butyrolactone,1
387,E,Acetone,1
388,E,Methyl_ethyl_ketone,1
389,E,Methyl_isobutyl_ketone,1
390,E,Methyl_isoamyl_ketone,1
391,E,Diisobutyl_ketone,1
392,E,Isophorone,1
393,E,Acetophenone,1
394,E,Cyclohexanone,1
395,E,Tetrahydrofuran,1
396,E,Mesityl_oxide,1
397,E,Ethyl_acetate,1
398,E,n-Butyl_acetate,1
399,E,Isoamyl_acetate,1
400,E,Isobutyl_isobutyrate,5
401,E,Acetonitrile,5
402,E,Butyronitrite,3
403,E,Nitromethane,6
404,E,Nitroethane,5
405,E,2-Nitropropane,6
406,E,Aniline,1
407,E,Nitrobenzene,1
408,E,Ethanolamine,2
409,E,Dimethyl_formamide,1
410,E,Dipropyl_amine,1
411,E,Diethyl_amine,1
412,E,Morpholine,1
413,E,Cyclohexylamine,1
414,E,Pyridine,1
415,E,Carbon_terachloride,2
416,E,Chloroform,1
417,E,Ethylen_chloride,1
418,E,Methylene_chloride,1
419,E,1_1_1-Trichloroethane,1
420,E,1-Chlorobutane,1
421,E,Trichloroethylene,1
422,E,2_2-Dichloro_diethyl_ether,5
423,E,Chlorobenzene,1
424,E,o-Dichlorobenzene,1
425,E,alpha-bromonaphtaline,1
426,E,Cyclohexylchloride,1
427,E,Benzene,1
428,E,Toluene,1
429,E,Xylene,5
430,E,Ethyl_benzene,2
431,E,Styrene,1
432,E,Tetralin,1
433,E,Hexane,6
434,E,Cyclohexane,6
435,E,Acetic_acid,2
436,E,Formic_acid_90,6
437,E,Butyric_acid,1
438,E,Benzaldehyde,1
439,E,Acetic_anhydride,2
440,F,Methanol ,5
441,F,Ethanol_96,1
442,F,Ethanol_99p9,1
443,F,n-Propanol,1
444,F,n-Butanol,1
445,F,Pentanol-1,1
446,F,2-Ethyl_butanol,1
447,F,2-Ethyl_hexanol,1
448,F,Methyl_isobutyl_carbinol,1
449,F,Propylene_glycol,6
450,F,Ethylene_glycol,6
451,F,1_3-Butandiol,6
452,F,Glycerol,6
453,F,Cyclohexanol,1
454,F,m-Cresol,1
455,F,Ethyl_lactate,1
456,F,n-Butyl_lactate,1
457,F,Diethylene_glycol,5
458,F,Dipropylene_glycol,5
459,F,2-Butoxyethanol,1
460,F,Methyl_dioxitol,1
461,F,Butyl_dioxitol,1
462,F,Oxitole,1
463,F,Diacetone_alcohol,1
464,F,Cellusolve_acetate,1
465,F,Methyl_Cellusolve,1
466,F,Diethyl_ether,5
467,F,Furan,1
468,F,Dioxane,1
469,F,Methylal,1
470,F,Diethyl_sulfide,5
471,F,Carbon_disulfide,5
472,F,Dimethyl_sulphoxide,2
473,F,Propylene_carbonate,6
474,F,gamma_Butyrolactone,3
475,F,Acetone,1
476,F,Methyl_ethyl_ketone,1
477,F,Methyl_isobutyl_ketone,1
478,F,Methyl_isoamyl_ketone,1
479,F,Diisobutyl_ketone,5
480,F,Isophorone,1
481,F,Acetophenone,1
