,solutes,solvents,solubility_param,solubility_category
0,A,Methanol ,5,non-soluble
1,A,Ethanol_96,4,theta
2,A,Ethanol_99p9,5,non-soluble
3,A,n-Propanol,5,non-soluble
4,A,n-Butanol,5,non-soluble
5,A,Pentanol-1,4,theta
6,A,2-Ethyl_butanol,3,theta
7,A,2-Ethyl_hexanol,4,theta
8,A,Methyl_isobutyl_carbinol,4,theta
9,A,Propylene_glycol,6,non-soluble
10,A,Ethylene_glycol,6,non-soluble
11,A,1_3-Butandiol,5,non-soluble
12,A,Glycerol,4,theta
13,A,Cyclohexanol,5,non-soluble
14,A,m-Cresol,3,theta
15,A,Ethyl_lactate,1,soluble
16,A,n-Butyl_lactate,1,soluble
17,A,Diethylene_glycol,6,non-soluble
18,A,Dipropylene_glycol,6,non-soluble
19,A,2-Butoxyethanol,1,soluble
20,A,Methyl_dioxitol,1,soluble
21,A,Butyl_dioxitol,1,soluble
22,A,Oxitole,1,soluble
23,A,Diacetone_alcohol,1,soluble
24,A,Cellusolve_acetate,1,soluble
25,A,Methyl_Cellusolve,4,theta
26,A,Diethyl_ether,3,theta
27,A,Furan,1,soluble
28,A,Dioxane,1,soluble
29,A,Methylal,1,soluble
30,A,Diethyl_sulfide,1,soluble
31,A,Carbon_disulfide,4,theta
32,A,Dimethyl_sulphoxide,4,theta
33,A,Propylene_carbonate,1,soluble
34,A,gamma_Butyrolactone,1,soluble
35,A,Acetone,1,soluble
36,A,Methyl_ethyl_ketone,1,soluble
37,A,Methyl_isobutyl_ketone,1,soluble
38,A,Methyl_isoamyl_ketone,1,soluble
39,A,Diisobutyl_ketone,1,soluble
40,A,Isophorone,1,soluble
41,A,Acetophenone,1,soluble
42,A,Cyclohexanone,1,soluble
43,A,Tetrahydrofuran,1,soluble
44,A,Mesityl_oxide,1,soluble
45,A,Ethyl_acetate,1,soluble
46,A,n-Butyl_acetate,1,soluble
47,A,Isoamyl_acetate,1,soluble
48,A,Isobutyl_isobutyrate,1,soluble
49,A,Acetonitrile,1,soluble
50,A,Butyronitrite,1,soluble
51,A,Nitromethane,1,soluble
52,A,Nitroethane,1,soluble
53,A,2-Nitropropane,1,soluble
54,A,Aniline,1,soluble
55,A,Nitrobenzene,1,soluble
56,A,Ethanolamine,6,non-soluble
57,A,Dimethyl_formamide,1,soluble
58,A,Dipropyl_amine,1,soluble
59,A,Diethyl_amine,1,soluble
60,A,Morpholine,1,soluble
61,A,Cyclohexylamine,1,soluble
62,A,Pyridine,1,soluble
63,A,Carbon_terachloride,1,soluble
64,A,Chloroform,1,soluble
65,A,Ethylen_chloride,1,soluble
66,A,Methylene_chloride,1,soluble
67,A,1_1_1-Trichloroethane,1,soluble
68,A,1-Chlorobutane,1,soluble
69,A,Trichloroethylene,1,soluble
70,A,2_2-Dichloro_diethyl_ether,1,soluble
71,A,Chlorobenzene,1,soluble
72,A,o-Dichlorobenzene,1,soluble
73,A,alpha-bromonaphtaline,1,soluble
74,A,Cyclohexylchloride,1,soluble
75,A,Benzene,1,soluble
76,A,Toluene,1,soluble
77,A,Xylene,1,soluble
