Solvent,Chem_structure,C,H,O,N,Cl,Br,S
Methanol ,C1H4O1,1,4,1,0,0,0,0
Ethanol_96,C2H6.08O1.04,2,6.08,1.04,0,0,0,0
Ethanol_99p9,C2H6.02O1.01,2,6.02,1.01,0,0,0,0
n-Propanol,C3H8O1,3,8,1,0,0,0,0
n-Butanol,C4H10O1,4,10,1,0,0,0,0
Pentanol-1,C5H12O1,5,12,1,0,0,0,0
2-Ethyl_butanol,C6H14O1,6,14,1,0,0,0,0
2-Ethyl_hexanol,C8H18O1,8,18,1,0,0,0,0
Methyl_isobutyl_carbinol,C6H14O1,6,14,1,0,0,0,0
Propylene_glycol,C3H8O2,3,8,2,0,0,0,0
Ethylene_glycol,C2H6O2,2,6,2,0,0,0,0
1_3-Butandiol,C4H10O,4,10,1,0,0,0,0
Glycerol,C3H8O3,3,8,3,0,0,0,0
Cyclohexanol,C6H12O,6,12,1,0,0,0,0
m-Cresol,C7H8O,7,8,1,0,0,0,0
Ethyl_lactate,C5H10O3,5,10,3,0,0,0,0
n-Butyl_lactate,C7H14O3,7,14,3,0,0,0,0
Diethylene_glycol,C4H10O3,4,10,3,0,0,0,0
Dipropylene_glycol,C6H14O3,6,14,3,0,0,0,0
2-Butoxyethanol,C6H14O2,6,14,2,0,0,0,0
Methyl_dioxitol,C5H12O3,5,12,3,0,0,0,0
Butyl_dioxitol,C6H14O2,6,14,2,0,0,0,0
Oxitole,C4H10O2,4,10,2,0,0,0,0
Diacetone_alcohol,C6H12O2,6,12,2,0,0,0,0
Cellusolve_acetate,C6H12O3,6,12,3,0,0,0,0
Methyl_Cellusolve,C3H8O2,3,8,2,0,0,0,0
Diethyl_ether,C4H10O1,4,10,1,0,0,0,0
Furan,C4H4O,4,4,1,0,0,0,0
Dioxane,C4H8O2,4,8,2,0,0,0,0
Methylal,C3H8O2,3,8,2,0,0,0,0
Diethyl_sulfide,C4H10S,4,10,0,0,0,0,1
Carbon_disulfide,CS2,1,0,0,0,0,0,2
Dimethyl_sulphoxide,C2H6OS,2,6,1,0,0,0,1
Propylene_carbonate,C4H6O3,4,6,3,0,0,0,0
gamma_Butyrolactone,C4H6O2,4,6,2,0,0,0,0
Acetone,C3H6O,3,6,1,0,0,0,0
Methyl_ethyl_ketone,C4H8O,4,8,1,0,0,0,0
Methyl_isobutyl_ketone,C6H12O,6,12,1,0,0,0,0
Methyl_isoamyl_ketone,C7H14O,7,14,1,0,0,0,0
Diisobutyl_ketone,C9H18O,9,18,1,0,0,0,0
Isophorone,C9H14O,9,14,1,0,0,0,0
Acetophenone,C8H8O,8,8,1,0,0,0,0
Cyclohexanone,C6H10O,6,10,1,0,0,0,0
Tetrahydrofuran,C4H8O,4,8,1,0,0,0,0
Mesityl_oxide,C6H10O,6,10,1,0,0,0,0
Ethyl_acetate,C4H8O2,4,8,2,0,0,0,0
n-Butyl_acetate,C6H12O2,6,12,2,0,0,0,0
Isoamyl_acetate,C7H14O2,7,14,2,0,0,0,0
Isobutyl_isobutyrate,C8H16O2,8,16,2,0,0,0,0
Acetonitrile,C2H3N,2,3,0,1,0,0,0
Butyronitrile,C4H7N,4,7,0,1,0,0,0
Nitromethane,CH3NO2,1,3,2,1,0,0,0
Nitroethane,C2H5NO2,2,5,2,1,0,0,0
2-Nitropropane,C3H7NO2,3,7,2,1,0,0,0
Aniline,C6H7N,6,7,0,1,0,0,0
Nitrobenzene,C6H5NO2,6,5,2,1,0,0,0
Ethanolamine,C2H7NO,2,7,1,1,0,0,0
Dimethyl_formamide,C3H7NO,3,7,1,1,0,0,0
Dipropylamine,C6H15N,6,15,0,1,0,0,0
Diethyl_amine,C4H11N,4,11,0,1,0,0,0
Morpholine,C4H9NO,4,9,1,1,0,0,0
Cyclohexylamine,C6H13N,6,13,0,1,0,0,0
Pyridine,C5H5N,5,5,0,1,0,0,0
Carbon_terachloride,CCl4,1,0,0,0,4,0,0
Chloroform,CHCl3,1,1,0,0,3,0,0
Ethylene_chloride,C2H4Cl2,2,4,0,0,2,0,0
Methylene_chloride,CH2Cl2,1,2,0,0,2,0,0
1_1_1-Trichloroethane,C2H3Cl3,2,3,0,0,3,0,0
1-Chlorobutane,C4H9Cl,4,9,0,0,1,0,0
Trichloroethylene,C2HCl3,2,1,0,0,3,0,0
2_2-Dichloro_diethyl_ether,C4H8Cl2O,4,8,1,0,2,0,0
Chlorobenzene,C6H5Cl,6,5,0,0,1,0,0
o-Dichlorobenzene,C6H4Cl2,6,4,0,0,2,0,0
alpha-bromonaphtaline,C10H7Br,10,7,0,0,0,1,0
Cyclohexylchloride,C6H11Cl,6,11,0,0,1,0,0
Benzene,C6H6,6,6,0,0,0,0,0
Toluene,C7H8O,7,8,1,0,0,0,0
Xylene,C8H10,8,10,0,0,0,0,0
Ethyl_benzene,C8H10,8,10,0,0,0,0,0
Styrene,C8H8,8,8,0,0,0,0,0
Tetralin,C10H12,10,12,0,0,0,0,0
Hexane,C6H14,6,14,0,0,0,0,0
Cyclohexane,C6H12,6,12,0,0,0,0,0
Acetic_acid,C2H4O2,2,4,2,0,0,0,0
Formic_acid_90,CH2O2,1,2,2,0,0,0,0
Butyric_acid,C4H8O2,4,8,2,0,0,0,0
Benzaldehyde,C7H6O,7,6,1,0,0,0,0
Acetic_anhydride,C4H6O3,4,6,3,0,0,0,0
