,solubility_category
0,non-soluble
1,theta
2,non-soluble
3,non-soluble
4,non-soluble
5,theta
6,theta
7,theta
8,theta
9,non-soluble
10,non-soluble
11,non-soluble
12,theta
13,non-soluble
14,theta
15,soluble
16,soluble
17,non-soluble
18,non-soluble
19,soluble
20,soluble
21,soluble
22,soluble
23,soluble
24,soluble
25,theta
26,theta
27,soluble
28,soluble
29,soluble
30,soluble
31,theta
32,theta
33,soluble
34,soluble
35,soluble
36,soluble
37,soluble
38,soluble
39,soluble
40,soluble
41,soluble
42,soluble
43,soluble
44,soluble
45,soluble
46,soluble
47,soluble
48,soluble
49,soluble
50,soluble
51,soluble
52,soluble
53,soluble
54,soluble
55,non-soluble
56,soluble
57,soluble
58,soluble
59,soluble
60,soluble
61,soluble
62,soluble
63,soluble
64,soluble
65,soluble
66,soluble
67,soluble
68,soluble
69,soluble
70,soluble
71,soluble
72,soluble
73,soluble
74,soluble
75,soluble
76,soluble
77,soluble
78,non-soluble
79,non-soluble
80,soluble
81,soluble
82,soluble
83,soluble
84,soluble
85,non-soluble
86,non-soluble
87,non-soluble
88,non-soluble
89,non-soluble
90,non-soluble
91,soluble
92,soluble
93,non-soluble
94,non-soluble
95,non-soluble
96,non-soluble
97,non-soluble
98,non-soluble
99,theta
100,soluble
101,soluble
102,non-soluble
103,non-soluble
104,non-soluble
105,soluble
106,theta
107,non-soluble
108,soluble
109,soluble
110,theta
111,non-soluble
112,theta
113,soluble
114,non-soluble
115,theta
116,non-soluble
117,soluble
118,soluble
119,soluble
120,soluble
121,soluble
122,soluble
123,soluble
124,theta
125,soluble
126,soluble
127,soluble
128,soluble
129,soluble
130,soluble
131,soluble
132,soluble
133,non-soluble
134,non-soluble
135,non-soluble
136,soluble
137,soluble
138,theta
139,soluble
140,non-soluble
141,soluble
142,non-soluble
143,soluble
144,soluble
145,soluble
146,non-soluble
147,soluble
148,soluble
149,non-soluble
150,theta
151,theta
152,soluble
153,soluble
154,soluble
155,non-soluble
156,theta
157,non-soluble
158,soluble
159,theta
160,non-soluble
161,soluble
162,theta
163,non-soluble
164,non-soluble
165,non-soluble
166,non-soluble
167,non-soluble
168,soluble
169,non-soluble
170,theta
171,theta
172,theta
173,theta
174,theta
175,non-soluble
176,non-soluble
177,non-soluble
178,non-soluble
179,non-soluble
180,non-soluble
181,non-soluble
182,non-soluble
183,soluble
184,soluble
185,soluble
186,soluble
187,soluble
188,soluble
189,soluble
190,soluble
191,soluble
192,soluble
193,soluble
194,soluble
195,soluble
196,theta
197,soluble
198,soluble
199,soluble
200,theta
201,theta
202,soluble
203,soluble
204,soluble
205,soluble
206,soluble
207,soluble
208,soluble
209,theta
210,soluble
211,soluble
212,soluble
213,soluble
214,soluble
215,soluble
216,soluble
217,soluble
218,non-soluble
219,soluble
220,soluble
221,soluble
222,soluble
223,soluble
224,soluble
225,soluble
226,soluble
227,soluble
228,soluble
229,soluble
230,soluble
231,theta
232,soluble
233,soluble
234,theta
235,soluble
236,soluble
237,soluble
238,soluble
239,soluble
240,soluble
241,theta
242,soluble
243,soluble
244,theta
245,theta
246,soluble
247,theta
248,non-soluble
249,non-soluble
250,soluble
251,non-soluble
252,soluble
253,soluble
254,soluble
255,non-soluble
256,non-soluble
257,non-soluble
258,non-soluble
259,non-soluble
260,theta
261,soluble
262,soluble
263,soluble
264,non-soluble
265,theta
266,non-soluble
267,non-soluble
268,soluble
269,soluble
270,soluble
271,soluble
272,non-soluble
273,non-soluble
274,soluble
275,soluble
276,soluble
277,soluble
278,soluble
279,soluble
280,soluble
281,soluble
282,soluble
283,soluble
284,soluble
285,soluble
286,soluble
287,theta
288,non-soluble
289,non-soluble
290,soluble
291,soluble
292,soluble
293,soluble
294,soluble
295,soluble
296,soluble
297,soluble
298,soluble
299,soluble
300,soluble
301,soluble
302,soluble
303,soluble
304,non-soluble
305,non-soluble
306,soluble
307,soluble
308,soluble
309,soluble
310,non-soluble
311,soluble
312,soluble
313,soluble
314,soluble
315,soluble
316,soluble
317,soluble
318,soluble
319,soluble
320,soluble
321,soluble
322,soluble
323,soluble
324,soluble
325,soluble
326,soluble
327,soluble
328,soluble
329,soluble
330,soluble
331,soluble
332,soluble
333,soluble
334,soluble
335,theta
336,theta
337,soluble
338,soluble
339,theta
340,theta
341,theta
342,soluble
343,soluble
344,soluble
345,soluble
346,soluble
347,soluble
348,soluble
349,theta
350,non-soluble
351,theta
352,non-soluble
353,soluble
354,soluble
355,soluble
356,soluble
357,theta
358,soluble
359,soluble
360,soluble
361,soluble
362,soluble
363,soluble
364,soluble
365,soluble
366,theta
367,soluble
368,soluble
369,soluble
370,soluble
371,non-soluble
372,soluble
373,non-soluble
374,soluble
375,soluble
376,soluble
377,soluble
378,soluble
379,soluble
380,soluble
381,soluble
382,soluble
383,soluble
384,soluble
385,soluble
386,soluble
387,soluble
388,non-soluble
389,non-soluble
390,non-soluble
391,non-soluble
392,non-soluble
393,soluble
394,soluble
395,soluble
396,soluble
397,soluble
398,soluble
399,soluble
400,soluble
401,soluble
402,soluble
403,soluble
404,soluble
405,soluble
406,soluble
407,non-soluble
408,soluble
409,soluble
410,soluble
